CVE ID,CWE ID,Attack Type,Mitigation Strategy
CVE-2016-4029,918,3,20
CVE-2017-17697,918,3,20
CVE-2018-1000823,611,3,0
CVE-2018-1000828,611,3,0
CVE-2018-1000835,611,3,0
CVE-2018-1000837,611,3,0
CVE-2019-4203,918,3,20
CVE-2018-19571,918,3,20
CVE-2019-14277,91,0,6
CVE-2019-6793,918,0,20
CVE-2019-15728,918,3,20
CVE-2019-15730,918,3,20
CVE-2019-15033,918,3,20
CVE-2019-16932,918,0,20
CVE-2019-13335,918,3,20
CVE-2019-15164,918,3,20
CVE-2017-18638,918,3,20
CVE-2019-14225,918,3,20
CVE-2019-17400,918,3,20
CVE-2019-18355,918,3,20
CVE-2019-18213,611,3,0
CVE-2019-16948,918,4,20
CVE-2019-20055,918,3,20
CVE-2018-20497,918,3,20
CVE-2018-20499,918,3,20
CVE-2019-19261,918,3,20
CVE-2020-1925,918,4,20
CVE-2019-19835,918,3,20
CVE-2019-5464,20,2,10
CVE-2019-20474,918,4,20
CVE-2020-7796,918,3,20
CVE-2019-18846,918,3,20
CVE-2020-10212,918,4,20
CVE-2019-13121,918,3,20
CVE-2020-10077,918,4,20
CVE-2019-11574,918,3,20
CVE-2020-10791,918,3,20
CVE-2020-10956,918,3,20
CVE-2020-11451,434,3,19
CVE-2020-11452,918,5,20
CVE-2020-11453,918,3,20
CVE-2020-10980,918,0,20
CVE-2020-11885,611,3,0
CVE-2020-11887,79,3,9
CVE-2020-12642,611,3,0
CVE-2020-7983,352,3,8
CVE-2020-8830,352,3,8
CVE-2020-13226,918,3,20
CVE-2014-8943,918,3,20
CVE-2020-13379,918,3,20
CVE-2020-12725,918,3,20
CVE-2020-11980,918,3,20
CVE-2020-9427,918,3,20
CVE-2020-8544,918,3,20
CVE-2019-20872,918,3,20
CVE-2020-13484,918,3,20
CVE-2020-13788,918,3,20
CVE-2020-15879,918,4,20
CVE-2020-15819,918,4,20
CVE-2020-15823,918,3,20
