CVE ID,Description,Severity,Attack Complexity,Attack Vector,CWE ID,References,Attack Type,Mitigation Strategy
CVE-2014-9304,"Plex Media Server before 0.9.9.3 allows remote attackers to bypass the web server whitelist, conduct SSRF attacks, and execute arbitrary administrative actions via multiple crafted X-Plex-Url headers to system/proxy, which are inconsistently processed by the request handler in the backend web server.",N/A,N/A,N/A,CWE-264,"http://www.securityfocus.com/archive/1/531290, https://forums.plex.tv/index.php/topic/62832-plex-media-server/?p=583250, https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20140228-1_Plex_Media_Server_Authentication_bypass_local_file_disclosure_v10.txt, http://www.securityfocus.com/archive/1/531290, https://forums.plex.tv/index.php/topic/62832-plex-media-server/?p=583250, https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20140228-1_Plex_Media_Server_Authentication_bypass_local_file_disclosure_v10.txt",External SSRF,Implement least privilege access control for all network services
CVE-2014-6577,"Unspecified vulnerability in the XML Developer's Kit for C component in Oracle Database Server 11.2.0.3, 11.2.0.4, 12.1.0.1, and 12.1.0.2 allows remote authenticated users to affect confidentiality via unknown vectors.  NOTE: the previous information is from the January 2015 CPU. Oracle has not commented on the original researcher's claim that this is an XML external entity (XXE) vulnerability in the XML parser, which allows attackers to conduct internal port scanning, perform SSRF attacks, or cause a denial of service via a crafted (1) http: or (2) ftp: URI.",N/A,N/A,N/A,NVD-CWE-noinfo,"http://www.oracle.com/technetwork/topics/security/cpujan2015-1972971.html, http://www.securityfocus.com/bid/72139, http://www.securitytracker.com/id/1031572, https://blog.netspi.com/advisory-xxe-injection-oracle-database-cve-2014-6577/, http://www.oracle.com/technetwork/topics/security/cpujan2015-1972971.html, http://www.securityfocus.com/bid/72139, http://www.securitytracker.com/id/1031572, https://blog.netspi.com/advisory-xxe-injection-oracle-database-cve-2014-6577/",Internal SSRF,"General SSRF Mitigation: Validate and sanitize all URLs, restrict network access, and enforce security controls."
CVE-2016-4029,"WordPress before 4.5 does not consider octal and hexadecimal IP address formats when determining an intranet address, which allows remote attackers to bypass an intended SSRF protection mechanism via a crafted address.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N,CWE-918,"http://codex.wordpress.org/Version_4.5, http://www.debian.org/security/2016/dsa-3681, http://www.securitytracker.com/id/1036594, https://core.trac.wordpress.org/query?status=closed&milestone=4.5, https://wpvulndb.com/vulnerabilities/8473, http://codex.wordpress.org/Version_4.5, http://www.debian.org/security/2016/dsa-3681, http://www.securitytracker.com/id/1036594, https://core.trac.wordpress.org/query?status=closed&milestone=4.5, https://wpvulndb.com/vulnerabilities/8473",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2016-6483,"The media-file upload feature in vBulletin before 3.8.7 Patch Level 6, 3.8.8 before Patch Level 2, 3.8.9 before Patch Level 1, 4.x before 4.2.2 Patch Level 6, 4.2.3 before Patch Level 2, 5.x before 5.2.0 Patch Level 3, 5.2.1 before Patch Level 1, and 5.2.2 before Patch Level 1 allows remote attackers to conduct SSRF attacks via a crafted URL that results in a Redirection HTTP status code.",N/A,N/A,N/A,CWE-918,"http://legalhackers.com/advisories/vBulletin-SSRF-Vulnerability-Exploit.txt, http://www.securityfocus.com/bid/92350, http://www.securitytracker.com/id/1036553, http://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4349548-security-patch-vbulletin-3-8-7-3-8-8-3-8-9-3-8-10-beta, http://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4349549-security-patch-vbulletin-4-2-2-4-2-3-4-2-4-beta, http://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4349551-security-patch-vbulletin-5-2-0-5-2-1-5-2-2, https://www.exploit-db.com/exploits/40225/, http://legalhackers.com/advisories/vBulletin-SSRF-Vulnerability-Exploit.txt, http://www.securityfocus.com/bid/92350, http://www.securitytracker.com/id/1036553, http://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4349548-security-patch-vbulletin-3-8-7-3-8-8-3-8-9-3-8-10-beta, http://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4349549-security-patch-vbulletin-4-2-2-4-2-3-4-2-4-beta, http://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4349551-security-patch-vbulletin-5-2-0-5-2-1-5-2-2, https://www.exploit-db.com/exploits/40225/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2016-7964,"The sendRequest method in HTTPClient Class in file /inc/HTTPClient.php in DokuWiki 2016-06-26a and older, when media file fetching is enabled, has no way to restrict access to private networks. This allows users to scan ports of internal networks via SSRF, such as 10.0.0.1/8, 172.16.0.0/12, and 192.168.0.0/16.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/94245, https://github.com/splitbrain/dokuwiki/issues/1708, http://www.securityfocus.com/bid/94245, https://github.com/splitbrain/dokuwiki/issues/1708",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2016-5968,"The Replay Server in IBM Tealeaf Customer Experience 8.x before 8.7.1.8847 FP10, 8.8.x before 8.8.0.9049 FP9, 9.0.0 and 9.0.1 before 9.0.1.1117 FP5, 9.0.1A before 9.0.1.5108 FP5, 9.0.2 before 9.0.2.1223 FP3, and 9.0.2A before 9.0.2.5224 FP3 allows remote attackers to conduct SSRF attacks via unspecified vectors.",N/A,N/A,N/A,CWE-918,"http://www-01.ibm.com/support/docview.wss?uid=swg21989374, http://www.securityfocus.com/bid/94516, http://www-01.ibm.com/support/docview.wss?uid=swg21989374, http://www.securityfocus.com/bid/94516",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2016-9752,"In Serendipity before 2.0.5, an attacker can bypass SSRF protection by using a malformed IP address (e.g., http://127.1) or a 30x (aka Redirection) HTTP status code.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/94622, https://blog.s9y.org/archives/271-Serendipity-2.0.5-and-2.1-beta3-released.html, https://github.com/s9y/Serendipity/commit/fbdd50a448ed87ba34ea8c56446b8f1873eadd6f, http://www.securityfocus.com/bid/94622, https://blog.s9y.org/archives/271-Serendipity-2.0.5-and-2.1-beta3-released.html, https://github.com/s9y/Serendipity/commit/fbdd50a448ed87ba34ea8c56446b8f1873eadd6f",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-5518,"The media-file upload feature in GeniXCMS through 0.0.8 allows remote attackers to conduct SSRF attacks via a URL, as demonstrated by a URL with an intranet IP address.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/95462, https://github.com/semplon/GeniXCMS/issues/64, http://www.securityfocus.com/bid/95462, https://github.com/semplon/GeniXCMS/issues/64",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-5643,Apache Camel's Validation Component is vulnerable against SSRF via remote DTDs and XXE.,N/A,N/A,N/A,CWE-918,"http://camel.apache.org/security-advisories.data/CVE-2017-5643.txt.asc?version=1&modificationDate=1489652454000&api=v2, http://www.securityfocus.com/bid/97226, https://access.redhat.com/errata/RHSA-2017:1832, https://lists.apache.org/thread.html/2318d7f7d87724d8716cd650c21b31cb06e4d34f6d0f5ee42f28fdaf%40%3Ccommits.camel.apache.org%3E, https://lists.apache.org/thread.html/b4014ea7c5830ca1fc28edd5cafedfe93ad4af2d9e69c961c5def31d%40%3Ccommits.camel.apache.org%3E, http://camel.apache.org/security-advisories.data/CVE-2017-5643.txt.asc?version=1&modificationDate=1489652454000&api=v2, http://www.securityfocus.com/bid/97226, https://access.redhat.com/errata/RHSA-2017:1832, https://lists.apache.org/thread.html/2318d7f7d87724d8716cd650c21b31cb06e4d34f6d0f5ee42f28fdaf%40%3Ccommits.camel.apache.org%3E, https://lists.apache.org/thread.html/b4014ea7c5830ca1fc28edd5cafedfe93ad4af2d9e69c961c5def31d%40%3Ccommits.camel.apache.org%3E",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-7200,"An SSRF issue was discovered in OpenStack Glance before Newton. The 'copy_from' feature in the Image Service API v1 allowed an attacker to perform masked network port scans. With v1, it is possible to create images with a URL such as 'http://localhost:22'. This could then allow an attacker to enumerate internal network details while appearing masked, since the scan would appear to originate from the Glance Image service.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/96988, https://bugs.launchpad.net/ossn/+bug/1153614, https://bugs.launchpad.net/ossn/+bug/1606495, https://wiki.openstack.org/wiki/OSSN/OSSN-0078, http://www.securityfocus.com/bid/96988, https://bugs.launchpad.net/ossn/+bug/1153614, https://bugs.launchpad.net/ossn/+bug/1606495, https://wiki.openstack.org/wiki/OSSN/OSSN-0078",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
